;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
商城	shang1 cheng2	100000000
播放	bo1 fang4	100000000
地图	di4 tu2	100000000
安卓	an1 zhuo2	100000000
地产	di4 chan3	100000000
十五	shi2 wu3	100000000
文学	wen2 xue2	100000000
三十	san1 shi2	100000000
热线	re4 xian4	100000000
公告	gong1 gao4	100000000
服饰	fu2 shi4	100000000
五一	wu3 yi1	100000000
小孩子	xiao3 hai2 zi3	100000000
牛仔裤	niu2 zai3 ku4	100000000
点评	dian3 ping2	100000000
之家	zhi1 jia1	100000000
网购	wang3 gou4	100000000
教学	jiao4 xue2	100000000
日志	ri4 zhi4	100000000
大地	da4 di4	100000000
股票	gu3 piao4	100000000
一百	yi1 bai3	100000000
尽在	jin4 zai4	100000000
五十	wu3 shi2	100000000
数码	shu4 ma3	100000000
宾馆	bin1 guan3	100000000
有限	you3 xian4	100000000
理财	li3 cai2	100000000
查询	cha2 xun2	100000000
图书	tu2 shu1	100000000
房产	fang2 chan3	100000000
十九	shi2 jiu3	100000000
优酷	you1 ku4	100000000
北京市	bei3 jing1 shi4	100000000
非诚勿扰	fei1 cheng2 wu4 rao3	100000000
家园	jia1 yuan2	100000000
预订	yu4 ding4	100000000
线路	xian4 lu4	100000000
小学生	xiao3 xue2 sheng1	100000000
用品	yong4 pin3	100000000
正版	zheng4 ban3	100000000
简历	jian3 li4	100000000
社会主义	she4 hui4 zhu3 yi4	100000000
职位	zhi2 wei4	100000000
青少年	qing1 shao4 nian2	100000000
问问	wen4 wen4	100000000
广州市	guang3 zhou1 shi4	100000000
大全	da4 quan2	100000000
广东省	guang3 dong1 sheng3	100000000
代理	dai4 li3	100000000
采购	cai3 gou4	100000000
机械	ji1 xie4	100000000
二手	er4 shou3	100000000
景点	jing3 dian3	100000000
设施	she4 shi1	100000000
买房	mai3 fang2	100000000
汇总	hui4 zong3	100000000
行情	hang2 qing2	100000000
疑问	yi2 wen4	100000000
太平洋	tai4 ping2 yang2	100000000
维修	wei2 xiu1	100000000
供应	gong1 ying4	100000000
同城	tong2 cheng2	100000000
住宿	zhu4 su4	100000000
出租	chu1 zu1	100000000
汉语	han4 yu3	100000000
专区	zhuan1 qu1	100000000
分类	fen1 lei4	100000000
求职	qiu2 zhi2	100000000
厂家	chang3 jia1	100000000
感兴趣的	gan3 xing4 qu4 de5	100000000
贸易	mao4 yi4	100000000
人力资源	ren2 li4 zi1 yuan2	100000000
批发	pi1 fa1	100000000
深圳市	shen1 zhen4 shi4	100000000
转让	zhuan3 rang4	100000000
租房	zu1 fang2	100000000
上海市	shang4 hai3 shi4	100000000
一二	yi1 er4	100000000
门户	men2 hu4	100000000
报价	bao4 jia4	100000000
浙江省	zhe4 jiang1 sheng3	100000000
问答	wen4 da2	100000000
购物中心	gou4 wu4 zhong1 xin1	100000000
影音	ying3 yin1	100000000
人民医院	ren2 min2 yi1 yuan4	100000000
巴巴	ba1 ba1	100000000
河南省	he2 nan2 sheng3	100000000
江苏省	jiang1 su1 sheng3	100000000
重庆市	chong2 qing4 shi4	100000000
日常生活	ri4 chang2 sheng1 huo2	100000000
绝大多数	jue2 da4 duo1 shu4	100000000
国语	guo2 yu3	100000000
中关村	zhong1 guan1 cun1	100000000
南京市	nan2 jing1 shi4	100000000
中华人民共和国	zhong1 hua2 ren2 min2 gong4 he2 guo2	100000000
买车	mai3 che1	100000000
供应商	gong1 ying4 shang1	100000000
山东省	shan1 dong1 sheng3	100000000
武汉市	wu3 han4 shi4	100000000
成都市	cheng2 du1 shi4	100000000
河北省	he2 bei3 sheng3	100000000
中小学	zhong1 xiao3 xue2	100000000
豆丁	dou4 ding1	100000000
二手房	er4 shou3 fang2	100000000
郑州市	zheng4 zhou1 shi4	100000000
列表	lie4 biao3	100000000
杭州市	hang2 zhou1 shi4	100000000
微博	wei1 bo2	100000000
东莞市	dong1 guan3 shi4	100000000
服务态度	fu2 wu4 tai4 du4	100000000
搜索引擎	sou1 suo3 yin3 qing2	100000000
信息网	xin4 xi1 wang3	100000000
搜搜	sou1 sou1	100000000
求购	qiu2 gou4	100000000
赶集	gan3 ji2	100000000
平方公里	ping2 fang1 gong1 li3	100000000
天津市	tian1 jin1 shi4	100000000
二手车	er4 shou3 che1	100000000
货到付款	huo4 dao4 fu4 kuan3	100000000
英才	ying1 cai2	100000000
章节	zhang1 jie2	100000000
是什么意思	shi4 shen2 me5 yi4 si1	100000000
人才网	ren2 cai2 wang3	100000000
以人为本	yi3 ren2 wei2 ben3	100000000
购物网	gou4 wu4 wang3	100000000
苏州市	su1 zhou1 shi4	100000000
正文	zheng4 wen2	100000000
休闲娱乐	xiu1 xian2 yu2 le4	100000000
主任医师	zhu3 ren4 yi1 shi1	100000000
个人观点	ge4 ren2 guan1 dian3	100000000
搜房	sou1 fang2	100000000
健康网	jian4 kang1 wang3	100000000
质量保证	zhi4 liang4 bao3 zheng4	100000000
有问必答	you3 wen4 bi4 da2	100000000
黄页	huang2 ye4	100000000
遵纪守法	zun1 ji4 shou3 fa3	100000000
电子邮箱	dian4 zi3 you2 xiang1	100000000
小说网	xiao3 shuo1 wang3	100000000
招聘信息	zhao1 pin4 xin4 xi1	100000000
批评指正	pi1 ping2 zhi3 zheng4	100000000
我为什么	wo3 wei4 shen2 me5	100000000
是为什么	shi4 wei4 shen2 me5	100000000
青岛	qing1 dao3	100000000
亲子	qin1 zi3	100000000
报告	bao4 gao4	100000000
育儿	yu4 er2	100000000
案例	an4 li4	100000000
配件	pei4 jian4	100000000
凤凰	feng4 huang2	100000000
讨论区	tao3 lun4 qu1	100000000
制造	zhi4 zao4	100000000
女装	nv3 zhuang1	100000000
四川	si4 chuan1	100000000
妈妈	ma1 ma1	100000000
第三	di4 san1	100000000
四川省	si4 chuan1 sheng3	100000000
历史	li4 shi3	100000000
朋友	peng2 you3	100000000
使用	shi3 yong4	100000000
新闻网	xin1 wen2 wang3	100000000
工业	gong1 ye4	100000000
政府	zheng4 fu3	100000000
房屋	fang2 wu1	100000000
伴侣	ban4 lv3	100000000
多少钱	duo1 shao3 qian2	100000000
攻略	gong1 lve4	100000000
伙伴	huo3 ban4	100000000
高度重视	gao1 du4 zhong4 shi4	100000000
商业	shang1 ye4	100000000
意思	yi4 si1	100000000
检查	jian3 cha2	100000000
该怎么办	gai1 zen3 me5 ban4	100000000
测量	ce4 liang2	100000000
经典	jing1 dian3	100000000
检测	jian3 ce4	100000000
好的	hao3 de5	100000000
结果	jie2 guo3	100000000
笔记本	bi3 ji4 ben3	100000000
官网	guan1 wang3	100000000
集团	ji2 tuan2	100000000
大学毕业	da4 xue2 bi4 ye4	100000000
香港	xiang1 gang3	100000000
一些	yi1 xie1	100000000
论文	lun4 wen2	100000000
韩国	han2 guo2	100000000
社会	she4 hui4	100000000
部分	bu4 fen4	100000000
已解决	yi3 jie3 jue2	100000000
什么意思	shen2 me5 yi4 si1	100000000
某些	mou3 xie1	100000000
移动	yi2 dong4	100000000
一点	yi1 dian3	100000000
有些	you3 xie1	100000000
以下	yi3 xia4	100000000
厦门	xia4 men2	100000000
化妆	hua4 zhuang1	100000000
工具	gong1 ju4	100000000
十三	shi2 san1	100000000
还是	hai2 shi4	100000000
主题	zhu3 ti2	100000000
中学生	zhong1 xue2 sheng1	100000000
我们	wo3 men5	100000000
中的	zhong4 di4	100000000
美容	mei3 rong2	100000000
全集	quan2 ji2	100000000
不是	bu4 shi4	100000000
化工	hua4 gong1	100000000
进口	jin4 kou3	100000000
国家	guo2 jia1	100000000
十八	shi2 ba1	100000000
首页	shou3 ye4	100000000
优质	you1 zhi4	100000000
家具	jia1 ju4	100000000
招商	zhao1 shang1	100000000
济南	ji3 nan2	100000000
工厂	gong1 chang3	100000000
更新	geng1 xin1	100000000
精灵	jing1 ling2	100000000
导航	dao3 hang2	100000000
中华民族	zhong1 hua2 min2 zu2	100000000
国内	guo2 nei4	100000000
旅游景点	lv3 you2 jing3 dian3	100000000
二十一	er4 shi2 yi1	100000000
起点	qi3 dian3	100000000
有什么	you3 shen2 me5	100000000
火车票	huo3 che1 piao4	100000000
地区	di4 qu1	100000000
家庭	jia1 ting2	100000000
标准	biao1 zhun3	100000000
的人	de5 ren2	100000000
物流	wu4 liu2	100000000
互动	hu4 dong4	100000000
现代	xian4 dai4	100000000
超级	chao1 ji2	100000000
文章	wen2 zhang1	100000000
周边	zhou1 bian1	100000000
妇产科	fu4 chan3 ke1	100000000
十六	shi2 liu4	100000000
扫一扫	sao3 yi1 sao3	100000000
现在	xian4 zai4	100000000
简介	jian3 jie4	100000000
参数	can1 shu4	100000000
包邮	bao1 you2	100000000
经理	jing1 li3	100000000
不能	bu4 neng2	100000000
装饰	zhuang1 shi4	100000000
主页	zhu3 ye4	100000000
特价	te4 jia4	100000000
摩托	mo2 tuo1	100000000
玩家	wan2 jia1	100000000
法律	fa3 lv4	100000000
照片	zhao4 pian4	100000000
职业	zhi2 ye4	100000000
宽带	kuan1 dai4	100000000
改革开放	gai3 ge2 kai1 fang4	100000000
比较	bi3 jiao4	100000000
以上	yi3 shang4	100000000
联盟	lian2 meng2	100000000
拍卖	pai1 mai4	100000000
沈阳	shen3 yang2	100000000
功能	gong1 neng2	100000000
合肥	he2 fei2	100000000
婴幼儿	ying1 you4 er2	100000000
安徽	an1 hui1	100000000
环球	huan2 qiu2	100000000
安徽省	an1 hui1 sheng3	100000000
公交	gong1 jiao1	100000000
更多	geng4 duo1	100000000
无忧	wu2 you1	100000000
有哪些	you3 na3 xie1	100000000
是一样的	shi4 yi1 yang4 de5	100000000
个好	ge4 hao3	100000000
五金	wu3 jin1	100000000
百科	bai3 ke1	100000000
金属	jin1 shu3	100000000
办公	ban4 gong1	100000000
户外	hu4 wai4	100000000
室外	shi4 wai4	100000000
银行	yin2 hang2	100000000
电视剧	dian4 shi4 ju4	100000000
天气预报	tian1 qi4 yu4 bao4	100000000
与众不同	yu3 zhong4 bu4 tong2	100000000
记录	ji4 lu4	100000000
湖南	hu2 nan2	100000000
交通	jiao1 tong1	100000000
湖南省	hu2 nan2 sheng3	100000000
联系	lian2 xi4	100000000
手机游戏	shou3 ji1 you2 xi4	100000000
科学	ke1 xue2	100000000
快乐	kuai4 le4	100000000
